Transcript ID,heatmap_label,SAM6D,SAM17D,SAM38D,AM,Cotyledon,Leaf,Hypocotyl,tau
Glyma.01G002100.1,Glyma.01G002100|GmARF7/19_F.1,0.71779872109033,0.6495006033894412,0.46091717761981876,0.8155373823903977,0.5048061789902396,0.3916539737229594,1,0.4099643271328022
Glyma.01G019400.1,Glyma.01G019400|GmIAA8-9-B.1,0.28301826828619253,0.7468975504568138,0.3266910129974115,0.38167545699175925,0.0952303612247289,1,0.8411397649831205,0.5542245975099956
Glyma.01G019400.2,Glyma.01G019400|GmIAA8-9-B.2,0.794597965203915,0,0.21066605054341092,0.33356319600243545,0.1774175440589842,1,0.951988460031709,0.5886277973599242
Glyma.01G019400.3,Glyma.01G019400|GmIAA8-9-B.3,0.28270883146370684,0.29886415707641883,0.32792769908253894,0.25377303130710055,0.045423301919073025,0.06952245051451741,1,0.7869634214394408
Glyma.01G098000.3,Glyma.01G098000|GmIAA8-9-D.3,0.5899563953099057,0.6277001090141946,0.33448453226065017,0.3963469952135769,0.4549455106527478,0.41938309761660525,1,0.5295305599887199
Glyma.01G103500.1,Glyma.01G103500|GmARF9_A.1,0.7902801511682231,1,0.48750462304728814,0.694336267102452,0.06205173973671616,0,0.06993390535600719,0.6493155522648856
Glyma.02G000500.1,Glyma.02G000500|GmIAA1-4-D.1,0.22040039159533653,0.2147105120425985,0.414539744860025,0.2524527900938738,0.06040544883351392,0.06555616252675817,1,0.7953224916746491
Glyma.02G065300.1,Glyma.02G065300|GmAFB2/3_C.1,0.859474156172652,1,0.4297535850852936,0.5218834524969022,0.08163415636055775,0.14755945651390973,0.30286774200956856,0.6094712418935194
Glyma.02G142500.3,Glyma.02G142500|GmIAA16-F.3,0.06413427530108942,0.05786487975035329,0.06499862932543371,0.12804530927232097,0.0017641365384004814,0.17925563941092396,1,0.9173228550669131
Glyma.02G142600.1,Glyma.02G142600|GmIAA1-4-H.1,0.2197681176141462,0.35221110762660945,0.13037806712386404,0.3214062078514898,0.43585545848822893,0.5407155436457872,1,0.666610916274979
Glyma.02G142600.2,Glyma.02G142600|GmIAA1-4-H.2,0,0.15594519385598185,0.06376502581579133,0.2542985016631116,0.30470790367787765,0,1,0.8702138958312062
Glyma.02G152800.2,Glyma.02G152800|GmTIR1/AFB1_D.2,0.8654132243709963,1,0.506426765156543,0.6506721450530154,0.4481467842735011,0,0.5956488282018177,0.48894870882402114
Glyma.02G211800.1,Glyma.02G211800|GmAFB4/5_D.1,0.7138812758168303,0.7884464081518142,0.4117953256131815,0.8255748598776831,0.29855846815685755,0.4568401500883053,1,0.417483918715888
Glyma.02G218100.2,Glyma.02G218100|GmIAA8-9-H.2,0.9252450710763663,1,0.495832688859033,0.3909562834903658,0.1331739487426059,0.3727763154000916,0.43881133877252354,0.540534058943169
Glyma.02G218100.4,Glyma.02G218100|GmIAA8-9-H.4,1,0.6836734529752876,0.5349012706708277,0.7374048948347217,0.1079170869611099,0,0.6460468874562374,0.5483427345169692
Glyma.02G239600.1,Glyma.02G239600|GmARF8_C.1,1,0.5622041500135629,0.4542908384673064,0.8021560199604536,0.7574135807611952,0.9468359561731227,0.7250764344821792,0.29200383669036334
Glyma.02G239600.3,Glyma.02G239600|GmARF8_C.3,0.7719739474953731,1,0.3861460031973213,0.5426855001803974,0,0,0.35021958313930995,0.6581624943312664
Glyma.02G239600.5,Glyma.02G239600|GmARF8_C.5,0,0.34970198564491317,0.40090801715345187,0.4067138117972049,0.41878846458678703,0,1,0.7373146201362739
Glyma.02G281700.1,Glyma.02G281700|GmARF6_E.1,0.629662205446548,1,0.5723054632404418,0.8068476540738776,0.423607911438972,0.4084876192115286,0.6868668134173459,0.4120370555285477
Glyma.03G070500.1,Glyma.03G070500|GmARF9_B.1,0.49600047117596013,0.3202866482404657,0.22520570844347415,0.3495933584187963,0.14802482934706665,1,0.09716871094452884,0.7272867122382847
