Transcript ID,heatmap_label,tau
Glyma.10G021500.1,Glyma.10G021500|GmTIR1/AFB1_C.1,0.6555878155523606
Glyma.10G031800.3,Glyma.10G031800|GmIAA1-4-G.3,0.890003946921566
Glyma.10G031900.1,Glyma.10G031900|GmIAA16-E.1,0.8495642866706792
Glyma.10G040400.3,Glyma.10G040400|GmIAA12-13-D.3,0.8131137141830037
Glyma.10G053500.1,Glyma.10G053500|GmARF17_A.1,0.6403690102541435
Glyma.10G162400.1,Glyma.10G162400|GmIAA16-A.1,0.5973812825897846
Glyma.10G162400.2,Glyma.10G162400|GmIAA16-A.2,0.8611118048192724
Glyma.10G162400.3,Glyma.10G162400|GmIAA16-A.3,0.555203830210538
Glyma.10G180000.2,Glyma.10G180000|GmIAA1-4-A.2,0.7947680021540217
Glyma.10G180000.1,Glyma.10G180000|GmIAA1-4-A.1,0.8846272274933787
Glyma.10G180100.1,Glyma.10G180100|GmIAA7/14/17-A.1,0.8923229243056038
Glyma.10G210600.1,Glyma.10G210600|GmARF10/16_E.1,0.5350454109832994
Glyma.11G145500.1,Glyma.11G145500|GmARF10/16_D.1,0.7188272071931568
Glyma.11G204200.1,Glyma.11G204200|GmARF8_A.1,0.7361157679677635
Glyma.11G204200.2,Glyma.11G204200|GmARF8_A.2,0.6773302770063458
Glyma.12G071000.1,Glyma.12G071000|GmARF4_A.1,0.6743125083586288
Glyma.12G071000.2,Glyma.12G071000|GmARF4_A.2,0.6730382868287719
Glyma.12G076200.1,Glyma.12G076200|GmARF10/16_C.1,0.6770714370555346
Glyma.12G164100.1,Glyma.12G164100|GmARF1_A.1,0.5565211954806302
Glyma.12G171000.9,Glyma.12G171000|GmARF4_C.9,0.7704855532626058
Glyma.12G174100.1,Glyma.12G174100|GmARF10/16_A.1,0.5502175906306191
Glyma.13G084700.1,Glyma.13G084700|GmARF17_D.1,0.5388592047268421
Glyma.13G112600.1,Glyma.13G112600|GmARF7/19_D.1,0.8348639048345353
Glyma.13G127000.3,Glyma.13G127000|GmIAA12-13-C.3,0.6386557083923419
Glyma.13G140600.2,Glyma.13G140600|GmARF17_B.2,0.6218741146489435
Glyma.13G174000.1,Glyma.13G174000|GmARF3_B.1,0.7639028761726576
Glyma.13G221400.2,Glyma.13G221400|GmARF6_C.2,0.6247522785924311
Glyma.13G234200.1,Glyma.13G234200|GmARF3_C.1,0.5133949591133894
Glyma.13G325200.1,Glyma.13G325200|GmARF10/16_B.1,0.5863166875642425
Glyma.13G354100.6,Glyma.13G354100|GmIAA18/26/28-C.6,0.7486280900271844
