Gene ID,Transcript ID,Orthology,Family,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,Class,Clade
Glyma.03G070500,Glyma.03G070500.2,GmARF9_B.2,ARF,45.008611,32.497606,40.924358,42.192675,8.439588,8.282666,7.071054,47.672295,55.806546,37.757871,0.68589,8.647167,43.277837,3.279099,B,I
Glyma.03G158600,Glyma.03G158600.1,GmIAA1-4-F.1,IAA,2.123764,36.369667,8.342818,3.178334,4.802952,0.098736,15.909252,0.658302,1.374,0.983934,0.021027,2.348194,2.886897,0,B,II
Glyma.03G158700,Glyma.03G158700.1,GmIAA16-H.1,IAA,62.978354,188.282417,63.415971,50.273803,93.913232,11.797675,382.933284,20.163323,39.919056,73.535631,0.583159,6.250057,14.892682,2.016265,C,III
Glyma.03G167400,Glyma.03G167400.10,GmIAA12-13-B.10,IAA,0,0,0,0.184457,0.101618,0,0,0,0.193712,0.060647,0,0.410893,0.246174,1.305593,A,I
Glyma.03G167400,Glyma.03G167400.11,GmIAA12-13-B.11,IAA,0,0,2.669419,1.074198,0,0,0,0,1.411506,0,0.66242,0,0,0,A,I
Glyma.03G167400,Glyma.03G167400.9,GmIAA12-13-B.9,IAA,0.757969,0.199519,0,1.015067,0.331675,0,0.945974,1.618781,0,0.856246,0,0,0,0,A,I
Glyma.03G208800,Glyma.03G208800.1,GmARF2_E.1,ARF,0.141022,0.028981,0.03545,0.139781,0.017437,0,0,0.921585,0.648135,0.172108,0,0,0,0,B,I
Glyma.03G209400,Glyma.03G209400.1,GmTIR1/AFB1_B.1,AFB/TIR1,25.967032,26.377921,14.286116,20.719333,9.445604,22.549691,20.867913,28.476275,25.128377,20.548182,11.542469,26.686917,5.465411,1.007309,TIR1/AFB1,I
Glyma.03G224800,Glyma.03G224800.1,GmIAA31-D.1,IAA,0.425031,0.594045,0.411346,0.092028,2.636044,0.479923,0.202949,4.402409,1.925249,0.860907,0,0.280731,0.900156,0,B,II
Glyma.03G247400,Glyma.03G247400.1,GmIAA16-C.1,IAA,123.752976,182.226043,143.672394,136.882838,68.294552,100.483878,215.724837,75.229555,108.926253,87.081914,65.420159,178.440543,98.055423,5.415049,C,III
Glyma.03G258300,Glyma.03G258300.1,GmARF11/18_C.1,ARF,4.339987,3.166519,2.409705,4.274833,0.821665,10.969361,7.628789,4.103059,6.653272,3.223339,4.490535,17.87578,13.94488,4.864193,B,I
Glyma.04G066300,Glyma.04G066300.1,GmIAA29-B.1,IAA,2.08014,0.937205,0.518759,0.439972,0.169127,1.357692,3.890246,0.837861,2.294509,1.30791,0.02174,1.186399,0.879363,0,A,I
Glyma.04G089900,Glyma.04G089900.1,GmIAA8-9-F.1,IAA,16.622062,10.753816,15.766341,20.62985,5.789791,13.451751,42.112058,22.072044000000002,30.416949,16.406402,10.68533,10.31069,14.19532,6.347293,A,I
Glyma.04G093500,Glyma.04G093500.1,GmAFB4/5_B.1,AFB/TIR1,20.846527,19.458989,12.747583,18.43125,4.329313,4.938035,16.720706,21.089969,25.708671,15.267589,8.446758,5.368235,9.993343,1.344543,AFB4/5,IV
Glyma.04G200600,Glyma.04G200600.1,GmARF2_B.1,ARF,59.132821,34.77695,54.023677,104.014185,5.893899,15.036259,13.614824,40.0361,67.500984,33.565553,5.088175,22.636836,12.527492,10.758737,B,I
