Orthology,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,tau
GmARF9_C.1,0.64,0.35,0.27,0.61,0.09,0.28,0.18,0.61,1.00,0.42,0.03,0.20,0.52,0.07,0.67
GmAFB6_A.4,0.39,1.00,0.36,0.10,0.08,0.19,0.57,0.14,0.68,0.37,0.86,0.00,0.00,0.00,0.71
GmAFB6_A.5,0.84,0.63,0.00,1.00,0.35,0.49,0.47,0.92,0.88,0.33,0.40,0.00,0.00,0.20,0.58
GmARF3_A.1,0.45,0.54,0.32,0.52,0.07,0.21,0.54,1.00,0.69,0.38,0.06,0.39,0.13,0.40,0.64
GmARF1_C.1,0.59,0.31,0.45,0.72,0.13,0.39,0.31,0.58,1.00,0.41,0.22,0.34,0.42,0.26,0.60
GmARF2_D.2,0.40,0.22,0.47,0.52,0.02,0.14,0.26,0.44,1.00,0.30,0.03,0.46,0.26,0.08,0.72
GmARF2_D.3,0.76,0.29,0.42,1.00,0.08,0.51,0.34,1.00,0.48,0.56,0.11,0.00,0.00,0.00,0.65
GmARF7/19_H.1,0.18,1.00,0.16,0.24,0.03,0.35,0.17,0.14,0.19,0.09,0.20,0.00,0.22,0.07,0.84
GmIAA27-C.1,0.81,0.55,0.66,0.66,0.51,0.13,0.94,0.69,0.64,1.00,0.08,0.47,0.54,0.26,0.47
GmIAA27-C.2,0.17,0.26,0.00,0.15,0.52,0.00,0.78,0.10,1.00,0.57,0.01,0.00,0.24,0.00,0.78
GmAFB6_B.6,0.42,0.97,0.30,0.58,0.28,0.15,1.00,0.40,0.51,0.24,0.55,0.22,0.22,0.02,0.63
GmARF6_A.2,0.50,0.46,0.43,0.68,0.09,0.16,0.29,0.61,1.00,0.34,0.05,0.39,0.75,0.24,0.62
GmARF6_A.3,0.60,0.73,0.61,0.88,0.10,0.05,0.42,0.58,1.00,0.45,0.22,0.04,0.00,0.00,0.64
GmIAA18/26/28-B.2,0.05,1.00,0.15,0.18,0.03,0.01,0.05,0.03,0.03,0.04,0.00,0.00,0.00,0.00,0.95
GmIAA8-9-C.1,0.80,0.31,0.78,0.94,0.22,0.23,1.00,0.75,0.61,0.45,0.10,0.74,0.57,0.09,0.49
GmIAA8-9-C.2,0.36,0.26,0.38,0.42,0.09,0.15,1.00,0.47,0.54,0.38,0.04,0.07,0.04,0.01,0.75
GmARF7/19_A.1,0.35,0.53,0.17,0.36,0.20,0.31,0.80,1.00,0.97,0.31,0.70,0.21,0.38,0.07,0.59
GmIAA27-D.1,0.24,0.11,0.17,0.23,0.03,0.13,1.00,0.26,0.40,0.43,0.02,0.13,0.35,0.00,0.81
GmIAA8-9-A.1,0.18,0.19,0.18,0.18,0.11,0.31,1.00,0.24,0.14,0.16,0.09,0.28,0.23,0.06,0.82
GmIAA8-9-A.3,0.31,0.32,0.33,0.37,0.10,0.00,1.00,0.26,0.35,0.26,0.05,0.00,0.26,0.05,0.80
GmTIR1/AFB1_C.1,0.50,0.34,0.24,0.44,0.21,0.62,0.60,1.00,0.74,0.41,0.13,0.16,0.07,0.00,0.66
GmTIR1/AFB1_C.2,0.76,0.62,0.69,0.71,0.39,0.56,0.56,0.47,0.85,0.59,0.98,1.00,0.22,0.12,0.42
GmTIR1/AFB1_C.3,0.84,0.31,0.43,0.33,0.10,0.14,0.19,1.00,0.32,0.46,0.36,0.73,0.10,0.04,0.67
GmIAA1-4-G.3,0.06,1.00,0.12,0.08,0.26,0.11,0.52,0.06,0.05,0.08,0.01,0.05,0.02,0.01,0.89
GmIAA16-E.1,0.05,1.00,0.22,0.14,0.15,0.00,0.16,0.03,0.05,0.02,0.00,0.26,0.87,0.00,0.85
GmIAA12-13-D.3,0.20,1.00,0.26,0.20,0.12,0.03,0.55,0.13,0.19,0.13,0.06,0.14,0.32,0.09,0.81
GmARF17_A.1,0.65,1.00,0.54,0.57,0.15,0.17,0.53,0.23,0.39,0.46,0.33,0.38,0.23,0.06,0.64
GmIAA16-A.1,0.51,0.73,0.49,0.51,0.33,0.24,1.00,0.46,0.66,0.36,0.02,0.20,0.55,0.18,0.60
GmIAA16-A.2,0.20,0.24,0.17,0.19,0.21,0.06,1.00,0.20,0.17,0.24,0.05,0.03,0.05,0.00,0.86
GmIAA16-A.3,0.28,0.84,0.40,0.76,0.37,1.00,0.84,0.84,0.42,0.51,0.14,0.35,0.04,0.00,0.56
GmIAA1-4-A.1,0.10,0.28,0.07,0.09,1.00,0.02,0.40,0.05,0.04,0.08,0.00,0.13,0.22,0.02,0.88
GmIAA1-4-A.2,0.23,1.00,0.08,0.26,0.76,0.20,0.76,0.00,0.00,0.15,0.00,0.09,0.14,0.00,0.79
GmIAA7/14/17-A.1,0.01,1.00,0.01,0.01,0.40,0.06,0.65,0.00,0.01,0.01,0.01,0.04,0.18,0.01,0.89
GmARF10/16_E.1,0.83,0.37,0.50,0.62,1.00,0.09,0.41,0.79,0.80,0.54,0.04,0.16,0.49,0.41,0.54
GmARF10/16_D.1,0.52,0.56,0.41,0.41,0.22,1.00,0.28,0.31,0.33,0.34,0.02,0.13,0.09,0.02,0.72
GmARF8_A.1,0.91,1.00,0.00,0.14,0.15,0.00,0.27,0.00,0.00,0.84,0.00,0.88,0.17,0.06,0.74
GmARF8_A.2,0.30,0.00,0.79,1.00,0.10,0.23,0.72,0.73,0.92,0.00,0.39,0.00,0.00,0.00,0.68
GmARF4_A.1,0.66,0.00,0.48,0.90,0.00,0.00,0.21,0.63,1.00,0.65,0.00,0.71,0.00,0.00,0.67
GmARF4_A.2,0.74,1.00,0.21,0.53,0.04,0.38,0.79,0.02,0.00,0.18,0.28,0.00,0.78,0.31,0.67
GmARF10/16_C.1,1.00,0.44,0.71,0.77,0.17,0.14,0.25,0.34,0.35,0.65,0.04,0.18,0.10,0.07,0.68
GmARF1_A.1,0.58,0.50,0.42,0.66,0.24,0.30,0.43,0.53,0.74,0.42,1.00,0.37,0.43,0.14,0.56
GmARF4_C.9,0.37,0.18,0.08,0.39,0.00,0.34,0.17,0.91,1.00,0.44,0.11,0.00,0.00,0.00,0.77
GmARF10/16_A.1,0.56,0.66,0.75,1.00,0.31,0.83,0.79,0.30,0.49,0.36,0.12,0.22,0.35,0.10,0.55
GmARF17_D.1,0.69,0.32,0.65,1.00,0.23,0.40,0.53,0.62,0.58,0.57,0.48,0.36,0.21,0.37,0.54
GmARF7/19_D.1,0.16,1.00,0.09,0.16,0.05,0.13,0.50,0.21,0.21,0.11,0.24,0.10,0.10,0.08,0.83
GmIAA12-13-C.3,0.34,1.00,0.18,0.31,0.17,0.29,0.78,0.36,0.36,0.30,0.00,0.22,1.00,0.37,0.64
GmARF17_B.2,0.82,0.41,0.37,0.52,0.31,0.35,0.50,0.58,1.00,0.45,0.24,0.28,0.09,0.00,0.62
GmARF3_B.1,0.44,0.14,0.45,0.52,0.03,0.03,0.60,0.44,1.00,0.34,0.02,0.03,0.03,0.01,0.76
GmARF6_C.2,0.75,0.39,0.59,0.94,0.04,0.03,0.62,0.48,1.00,0.44,0.06,0.43,0.09,0.03,0.62
GmARF3_C.1,0.79,0.66,0.60,1.00,0.09,0.24,0.66,0.75,0.88,0.59,0.13,0.52,0.19,0.22,0.51
GmARF10/16_B.1,0.71,1.00,0.76,0.90,0.15,0.13,0.17,0.49,0.93,0.59,0.08,0.11,0.21,0.14,0.59
GmIAA18/26/28-C.11,0.33,0.59,0.59,1.00,0.03,0.03,0.11,0.90,0.74,0.68,0.00,0.00,0.00,0.12,0.68
GmIAA18/26/28-C.6,0.34,0.27,0.43,0.57,0.12,0.11,0.18,0.68,1.00,0.35,0.13,0.07,0.00,0.02,0.75
GmIAA18/26/28-C.8,0.62,0.35,0.59,0.97,0.17,0.30,0.16,0.77,0.39,0.20,0.15,1.00,0.64,0.00,0.59
GmIAA27-E.1,0.52,0.82,1.00,0.47,0.96,0.06,0.73,0.15,0.21,0.48,0.00,0.03,0.91,0.11,0.58
GmIAA6/19-A.1,0.08,0.63,0.09,0.11,0.44,0.06,1.00,0.04,0.05,0.09,0.00,0.11,0.15,0.01,0.86
GmIAA15-A.2,0.37,1.00,0.75,0.67,0.03,0.01,0.65,0.05,0.20,0.24,0.00,0.03,0.00,0.00,0.77
GmIAA15-A.3,0.11,0.71,1.00,0.64,0.00,0.00,0.70,0.08,0.12,0.15,0.01,0.11,0.00,0.00,0.80
