AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule
0,0,0,-1.2635477203626835,0,0,-2.4315635855831146,0,-2.178814117391155,0,0,-0.9385889919839479,0,-1.3963685377484567
0,0,-0.6605982519806326,0,-0.43081108538167384,-1.9229956732066533,0,0,0.05010934988595839,0,-1.6354114862250397,0.06501024024451704,-0.8032464297065054,0
-0.18990666677913887,-0.04941415959785682,-0.4253738668904254,-0.08538027321095755,0.0460227634564985,-0.769183361365918,-0.10306227958416288,0.4659230038093223,0.05074853725174665,-0.39257822035130885,-1.335141871034226,-0.7810209742494031,-0.14581667131773493,-1.2097500314351437
0.20323066909492013,0,0,0,0,0,-0.3071037518996356,-0.9382234289751016,-0.11016514314887885,0,-0.9848247331645283,0,-0.32510947881115465,0
-0.36507959271989504,-0.481906081164179,-0.3905336571683663,-0.2618181977496697,-0.3476743518785861,0,-0.054095369771454176,-0.45017799407768105,-0.2126479355133038,-0.17722211288668713,-1.1472151313194527,-0.30282472939721033,-0.35210283238487605,-0.6714919622566674
0.3180925653384169,-0.028165403102585904,-0.2850343555975748,-0.35657496131478317,-0.7717870546436743,0.1328012589933116,0.58997706483845,-0.07682802425767593,0.3606897655140826,0.11657786031228783,-1.6627404602497262,0.07423077195941451,-0.05583181166819156,0
0,-0.09071522207864295,0,-1.0363490914088087,0.20667910825468247,0,-0.09520712149373436,0,0,0,-1.5381114736560288,0.13537216315478023,0,0
-0.05236682295706122,0,-1.3352076454666437,-0.03387470033604548,-0.05900267072734199,0.34275419731819234,-0.8312285907604803,-0.15842406204518542,-0.5627474177095484,-0.9845731772627391,-1.457647701447247,0,-0.22434586991740557,0
-0.5266590358140646,-0.09253274353283428,-0.8613689414444143,0.11458696728339036,-0.5395787901531339,0,-0.5889934522246093,0,-0.12536977056255388,-0.3216938124412363,-0.25290684339994923,0.25219381051254897,0.34859183102762975,-0.1702126602608634
0,-0.3521790437694046,-0.8253936684964249,-0.1460846952515954,-0.02594402585743199,0.6047963112265713,-0.4000220045823158,0,0.044781925706209216,-0.04850074391673677,-0.3008806240526518,0,0,0.40004435733557514
-0.07822043423977687,-0.186357640818362,0,0,-1.0856092370813515,0,0.33658800189231347,0,0.5471453222480614,-0.9140105454597963,0,0,0,0
0,0,0,-0.30802430481347587,-1.7056219644127588,0,0.4598886269761628,0,0,-1.3326217708683015,0,-0.19329850730865425,0,0
0,0,0,-0.7341048589858976,-0.993029356931247,0,0,0,-0.7128434749321106,-1.2171906773311225,0,-0.3862712573442823,-0.6087578175817955,0.11580781292516351
0,-0.3890801894107429,-0.9478873013028429,-0.33529504691012746,-0.7143324436934246,0,0.06270642654789442,-0.4848642893819757,-0.4689811677912078,-1.070213357029897,0,0,0,0
-0.8507131303708999,-1.537886633116429,-1.4503837604809147,-0.8545518568874627,-1.7585282324492366,0,0,-0.03546460257347171,-0.18833452553582813,-0.7641989421355094,0,0,0,0
-0.7160952500712161,-1.0829200659209217,-0.03873793903858876,-0.05527951803921428,-1.4706338191805135,0,-0.17415277536870705,-0.3470259310861345,-0.2816079365766931,-0.47097666653624515,-0.42295996343860015,-0.7754332724598326,-0.5520052073462713,-0.364796825649264
-0.13979619618132236,-1.7529847094681685,-0.3322678808321927,-0.5456110074097055,-1.7042350387702303,0,-0.2585324506094832,-0.33768707591539304,-0.08577535108697767,-0.23204458071346132,0,-0.4846865987423393,0,0
0,0,0,0,0,0,-1.1971647255210591,-1.5265568265452392,0,0,0,0,0,-0.1519063766904829
-0.8883410206989049,-0.3864308865409589,-0.5592420031622264,-1.460334363933874,0.4176606490779796,0,-1.29411064116143,-0.930387395707076,-0.41106307147548254,-0.605739240562919,0,-0.23164091343650317,-0.16844822776759724,0
-1.8406433883777733,-0.7604027495303051,-0.5196063907622718,-0.5035464003250603,-0.7351562145094379,0,-0.08597911265249772,-1.212213749718751,-1.8371668561218428,0,-0.8416013182058083,-0.12566664477269215,-0.2265690323100038,0
-1.3954067884187715,0.5369221381194106,0,-0.17189202089376365,-0.9127298176607976,0,0.7983895069448101,0.24205468619020248,-0.7650602694601004,0,0,0.48936467842089637,-0.27387535442710226,0
-1.095993533605936,-0.006195326660216437,0.03592179316710153,-0.2632991997821327,-1.6141971766749827,0,-0.31126436141854635,-0.48613942755400963,-0.7445899900812072,-0.1396697808481554,0,-0.7164997652609782,-0.7630800025624103,0
-1.4750070521168273,0,0,-0.9336479804744887,-1.3760068421946001,0,0,0,0,0,0,0,-1.2209665807378816,0
0,0,0,0,0,0,0,0,0,0,0,1.534939639231588,2.360847505616685,1.9249159395283797
0,0.8503688474463168,-0.3000625972181533,0.4729587804824176,-1.574025839080624,0,-0.6964929176328922,-1.1435369622813605,1.49231605030449,-0.05949198190018636,0,1.6226590451925877,1.5714580562351208,0.9795445962346188
