ensembl_gene_id,Transcripts,class_9FAMILY_BASED,name,Function,Function2,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule
Glyma.03G247400,NA,A,Glyma.03G247400.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.03G258300,KRH68924,NA,NA,NA,NA,4.339987,3.166519,2.409705,4.274833,0.821665,10.969361,7.628789,4.103059,6.653272,3.223339,4.490535,17.87578,13.94488,4.864193
Glyma.03G258300,NA,B,Glyma.03G258300.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.04G066300,NA,C,Glyma.04G066300.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.04G089900,KRH62157,A,NA,IAA,IAA8/9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.04G089900,NA,A,Glyma.04G089900.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.04G093500,KRH62206,AFB4/5,GLYMA_04G093500.1,AFB/TIR1,AFB4/5,20.846527,19.458989,12.747583,18.43125,4.329313,4.938035,16.720706,21.089969,25.708671,15.267589,8.446758,5.368235,9.993343,1.344543
Glyma.04G200600,KRH63855,B,NA,ARF,ARF2,59.132821,34.77695,54.023677,104.014185,5.893899,15.036259,13.614824,40.0361,67.500984,33.565553,5.088175,22.636836,12.527492,10.758737
Glyma.04G200600,KRH63856,B,NA,ARF,ARF2,26.73452,16.607927,37.897829,13.127561,0,1.352247,4.497224,0,68.231384,19.768642,7.291077,0,4.688822,1.582784
Glyma.04G200600,NA,B,Glyma.04G200600.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.04G254200,KRH64757,NA,NA,NA,NA,6.158024,1.740286,4.751942,7.621131,1.658487,1.952639,3.417963,5.288874,6.771227,5.649792,2.313244,3.264723,0.916848,1.975302
Glyma.04G254200,NA,C,Glyma.04G254200.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.05G143800,NA,A,Glyma.05G143800.2,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.05G200800,KRH59742,B,NA,ARF,ARF2,23.736932,7.300337,13.387625,33.516112,4.197497,21.693739,20.950298,31.857638,31.063118,16.461606,4.368482,44.030052,25.338768,21.300657
Glyma.05G200800,KRH59743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.05G200800,KRH59744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.05G200800,KRH59745,B,NA,ARF,ARF2,106.794815,41.848269,90.20675,89.149798,3.924654,25.580965,38.494199,75.216825,290.33667,100.526085,25.977418,0,0,0
Glyma.05G200800,KRH59746,B,NA,ARF,ARF2,0,7.085473,0.501115,2.971384,0.026667,0,0.201144,0.071856,31.068197,0.871983,0,41.942957,37.278468,9.539917
Glyma.05G200800,NA,B,Glyma.05G200800.4,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.05G221300,KRH60116,NA,NA,NA,NA,1.523845,0.679327,0,2.978405,0.568936,0.22693,1.605076,0,0.655943,0.702173,0,3.260319,2.29521,0
Glyma.05G221300,KRH60117,NA,NA,NA,NA,2.423506,4.725211,3.187878,3.68051,0.208647,1.988134,1.536381,0,5.701825,2.135538,13.489484,0,0,0
Glyma.05G221300,KRH60118,NA,NA,NA,NA,1.965651,1.135932,3.817258,3.645584,0,0,0,3.436221,4.684826,1.044273,5.350226,1.095481,3.834565,0.815351
Glyma.05G221300,NA,A,Glyma.05G221300.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.05G229300,KRH60250,A,NA,IAA,IAA27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.05G229300,NA,A,Glyma.05G229300.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.06G067700,NA,C,Glyma.06G067700.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.06G091700,KRH52867,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.06G091700,NA,A,Glyma.06G091700.3,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.06G095400,KRH52925,AFB4/5,GLYMA_06G095400.1,AFB/TIR1,AFB4/5,16.624289,16.028732,15.517072,13.117567,3.675868,9.842971,17.361197,17.568729,22.163578,11.157726,12.838756,8.101368,7.946719,7.208545
Glyma.06G164900,KRH54110,"NA",NA,ARF,NA,62.736767,31.362845,56.712867,104.850125,1.621706,14.695636,13.61886,48.102339,51.456817,31.907033,8.665198,27.39663,14.501406,9.673077
Glyma.06G164900,KRH54111,"NA",NA,ARF,NA,78.161251,91.333242,102.461124,95.846621,1.569549,29.653419,18.983798,38.298793,237.526834,76.153152,6.048278,3.67476,1.606524,0
Glyma.06G164900,NA,B,Glyma.06G164900.3,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G015200,NA,B,Glyma.07G015200.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G018100,NA,A,Glyma.07G018100.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G034200,KRH47514,A,NA,IAA,IAA5/6/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G034200,NA,A,Glyma.07G034200.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G054800,KRH47892,B,NA,ARF,ARF11/18,16.708991,2.986484,6.034517,21.181261,7.465424,7.623516,12.85155,28.777046,25.395101,15.547285,0.950639,15.305503,4.599124,1.742318
Glyma.07G054800,KRH47893,B,NA,ARF,ARF11/18,5.843258,8.903698,0,10.375662,0,0,13.29852,4.33353,10.794896,0,0,0,1.404485,0
Glyma.07G054800,KRH47894,NA,NA,NA,NA,0.040234,3.442882,0,0.673144,0.122256,0,6.286219,1.746042,0.171767,0,0,3.085778,0.532261,0
Glyma.07G054800,KRH47895,B,NA,ARF,ARF11/18,25.597646,21.589312,16.512749,16.960512,1.972203,0.026187,23.794879,59.556245,27.761288,23.940417,0,3.00183,0,0
Glyma.07G054800,NA,B,Glyma.07G054800.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G130400,KRH49070,A,NA,ARF,ARF7/19,18.550414,8.914698,15.95095,18.729053,15.689098,23.181993,16.71,16.764956,21.488396,10.756881,24.155359,2.997797,25.928328,7.688516
Glyma.07G130400,KRH49071,NA,NA,NA,NA,0.512587,0.454696,0.124804,0.317893,2.662431,4.794673,3.618788,1.208604,0.594838,0.596527,0.219192,0.835716,1.282577,0.792176
Glyma.07G130400,KRH49072,NA,NA,NA,NA,2.236563,3.831503,0,1.292868,0.067548,3.559956,2.556377,0,0,0,10.709223,0,0.333267,0.182508
Glyma.07G130400,NA,A,Glyma.07G130400.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G134800,KRH49135,B,NA,ARF,ARF9,22.945872,12.408956,9.655552,21.760539,3.140849,10.165337,6.359183,21.99834,35.787787,14.96938,1.246423,7.28538,18.606157,2.377057
Glyma.07G134800,NA,B,Glyma.07G134800.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G189800,KRH49940,NA,NA,NA,NA,0,0,4.600346,0,0,0,0,0,0,0,0,7.63648,7.12717,0
Glyma.07G189800,KRH49941,NA,NA,NA,NA,4.92877,12.740637,4.609431,1.21619,1.051947,2.402663,7.223838,1.775044,8.691558,4.775848,10.969952,0,0,0
Glyma.07G189800,KRH49942,AFB6,GLYMA_07G189800.5,AFB/TIR1,AFB6,9.809111,7.427073,0,11.728325,4.097942,5.729744,5.47683,10.762178,10.321525,3.863775,4.64186,0,0,2.369101
Glyma.07G202200,KRH50128,B,NA,ARF,ARF3,7.458571,9.024369,5.336939,8.560659,1.190848,3.522379,9.021946,16.609475,11.472063,6.282427,1.010533,6.400357,2.190232,6.682929
Glyma.07G202200,NA,B,Glyma.07G202200.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.07G272800,KRH51289,B,NA,ARF,ARF1,21.39428,11.42527,16.331981,26.186863,4.840373,14.133984,11.318375,21.039361,36.436725,15.076548,8.026667,12.398824,15.443013,9.535981
Glyma.07G272800,NA,B,Glyma.07G272800.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G008100,KRH41062,"NA",NA,ARF,NA,41.952212,22.684099,48.464588,54.60072,2.1665740000000002,14.976262,26.934453,45.899996,104.119336,30.814124,3.509392,48.206033,26.688306999999998,8.83631
Glyma.08G008100,KRH41063,"NA",NA,ARF,NA,41.903106,15.801812,23.417877,55.329663,4.236413,28.260708,18.724678,55.230644,26.660841,30.862812,6.303453,0,0,0.216233
Glyma.08G008100,NA,B,Glyma.08G008100.3,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G027800,KRH41403,NA,NA,NA,NA,2.60582,14.519476,2.324032,3.416966,0.392938,5.093188,2.402831,2.042845,2.753059,1.241745,2.846303,0,3.263135,1.000961
Glyma.08G027800,KRH41404,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2.128037,0,0
Glyma.08G027800,NA,A,Glyma.08G027800.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G036400,KRH41538,A,NA,IAA,IAA27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G036400,NA,A,Glyma.08G036400.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G059500,KRH41935,AFB6,GLYMA_08G059500.6,AFB/TIR1,AFB6,5.501187,12.771654,3.972987,7.685747,3.6447,1.96373,13.222675,5.330102,6.733757,3.175725,7.216619,2.9511,2.873463,0.301663
Glyma.08G059500,KRH41936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G100100,KRH42602,A,NA,ARF,ARF6,10.947864,10.079952,9.415081,14.917609,1.869723,3.415755,6.406989,13.41693,21.964082,7.507055,1.156184,8.670656,16.528049,5.183271
Glyma.08G100100,KRH42603,A,NA,ARF,ARF6,20.284999,24.502918,20.677236,29.81443,3.42688,1.547231,14.1823,19.493653,33.696086,15.036091,7.251703,1.374726,0,0
Glyma.08G100100,NA,A,Glyma.08G100100.3,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G200700,NA,B,Glyma.08G200700.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G203100,NA,A,Glyma.08G203100.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G207900,NA,A,Glyma.08G207900.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G273500,KRH45471,A,NA,IAA,IAA8/9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.08G273500,NA,A,Glyma.08G273500.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.09G072200,KRH37536,A,NA,ARF,ARF7/19,5.371129,8.118639,2.510028,5.524075,3.009542,4.75685,12.096284,15.194996,14.796613,4.769618,10.573197,3.25663,5.827399,1.018694
Glyma.09G072200,NA,A,Glyma.09G072200.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.09G193000,NA,A,Glyma.09G193000.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.09G203300,KRH39524,A,NA,IAA,IAA8/9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.09G203300,KRH39526,A,NA,IAA,IAA8/9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.09G203300,NA,A,Glyma.09G203300.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G000700,NA,A,Glyma.10G000700.2,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G021500,KRH31921,TIR1,GLYMA_10G021500.2,AFB/TIR1,TIR1,19.724328,16.170619,18.096732,18.503468,10.239295,14.506518,14.635121,12.243954,22.316362,15.443247,25.621399,26.106051,5.641934,3.205496
Glyma.10G021500,KRH31922,NA,NA,NA,NA,5.583207,2.081541,2.888177,2.213239,0.666973,0.908393,1.2796400000000001,6.671513,2.120712,3.06452,2.413944,4.888901,0.668685,0.259648
Glyma.10G021500,KRH31923,TIR1,GLYMA_10G021500.1,AFB/TIR1,TIR1,14.419899,9.741531,6.79071,12.735183,6.157738,17.688606,17.203871,28.663983,21.325627,11.737596,3.718783,4.726063,2.093318,0
Glyma.10G031800,KRH32098,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G031800,NA,A,Glyma.10G031800.3,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G031900,NA,A,Glyma.10G031900.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G040400,NA,B,Glyma.10G040400.3,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G053500,KRH32480,NA,NA,NA,NA,6.843386,10.578868,5.747051,6.023244,1.601361,1.747069,5.557321,2.422115,4.091491,4.876355,3.509643,4.039302,2.398976,0.60104
Glyma.10G053500,NA,C,Glyma.10G053500.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G138500,NA,C,Glyma.10G138500.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G162400,KRH34089,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G162400,KRH34090,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G162400,NA,A,Glyma.10G162400.2,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G180000,KRH34375,A,NA,IAA,IAA3/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G180000,KRH34376,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G180000,NA,A,Glyma.10G180000.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G180100,KRH34377,A,NA,IAA,IAA7/14/17?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G180100,NA,A,Glyma.10G180100.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G210600,KRH34867,C,NA,ARF,ARF17,15.917001,6.97154,9.537723,11.845456,19.079161,1.684311,7.753143,15.128833,15.270284,10.258521,0.677706,3.091129,9.387851,7.798767
Glyma.10G210600,NA,C,Glyma.10G210600.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.10G270500,NA,C,Glyma.10G270500.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.11G145500,KRH29907,C,NA,ARF,ARF16?,15.909573,17.106814,12.586106,12.520897,6.758486,30.401493,8.543969,9.310248,10.078082,10.215456,0.759723,4.047713,2.691333,0.596545
Glyma.11G145500,NA,C,Glyma.11G145500.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.11G154632,NA,B,Glyma.11G154632.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.11G204200,KRH30740,NA,NA,NA,NA,19.241075,21.103199,0,3.05566,3.172375,0,5.721453,0,0,17.832069,0,18.572984,3.488127,1.310676
Glyma.11G204200,KRH30741,A,NA,ARF,ARF8,13.373647,0,35.09998,44.159391,4.581945,10.26129,31.902014,32.214786,40.620313,0,17.181705,0,0,0
Glyma.11G204200,NA,A,Glyma.11G204200.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.11G227300,KRH31107,COI1-A,GLYMA_11G227300.1,AFB/TIR1,COI1-A,18.068083,11.595375,28.796279,30.443669,4.930592,21.328044,21.024339,14.48028,16.82458,9.490509,42.501074,12.497006,20.49473,6.948547
Glyma.12G071000,KRH24914,B,NA,ARF,ARF4,11.369516,0,8.25687,15.642403,0,0,3.559222,10.921514,17.351369,11.332962,0,12.382123,0,0
Glyma.12G071000,KRH24915,NA,NA,NA,NA,5.966938,8.041472,1.704421,4.29423,0.298801,3.024782,6.323998,0.196041,0,1.458274,2.217063,0,6.235388,2.460359
Glyma.12G071000,NA,B,Glyma.12G071000.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.12G076200,KRH25023,C,NA,ARF,ARF16?,26.335605,11.584763,18.655286,20.247595,4.482571,3.598909,6.567602,8.931069,9.221096,17.059916,0.926472,4.867979,2.699865,1.715625
Glyma.12G076200,NA,C,Glyma.12G076200.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.12G164100,KRH26266,B,NA,ARF,ARF1,29.907851,25.658848,21.848792,33.978092,12.158648,15.573356,22.344234,27.195518,37.96394,21.69255,51.46068,19.141297,21.871309,7.347936
Glyma.12G164100,NA,B,Glyma.12G164100.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.12G171000,KRH26384,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4.750373,0,1.006833
